"Organization - Name","Organization - Labels","Organization - Address","Organization - People","Organization - Closed deals","Organization - Open deals","Organization - Next activity date","Organization - Owner","Organization - Won deals"
"KAW (fosta Telectronic)","CUSTOMER","","19","0","0","","Alexandru Udrea","0"
"Aurocon Compec","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Delcase","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"DM Elektron","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Eldon Romania","CUSTOMER","","1","5","0","","Alexandru Udrea","2"
"Grimet Construct","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"GUEHING","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Hermecanics","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Hidraulica","Vendor","","7","26","0","","Alexandru Udrea","15"
"INKD MNR","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Intreprindere Individuala Isar Laurentiu Stefan","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Media Cybernetics","Vendor","","3","0","0","","Alexandru Udrea","0"
"Megatitan","Vendor","","3","0","0","","Alexandru Udrea","0"
"Meze Headphones","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Middle Tehnical University / College of health of Medical Tehnology Bagdad","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Net Engineering","CUSTOMER","","1","0","1","","Alexandru Udrea","0"
"Nicoron Design","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Omco","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"PFA Daniel Maniu","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Qual Company","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Secrit Group Srl","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Seko","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Sodifer","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"TCM Studiu Materialalelor","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"TCM UAV","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Techniod Com SRL","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Tradeville","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Unimet Triff SRL","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"UPRUC CTR SA - Fagaras","CUSTOMER","","2","0","0","","Alexandru Udrea","0"
"UTTIS Industries","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Vantek Robotics","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"VDL ROTECH SRL","CUSTOMER","","2","0","0","","Alexandru Udrea","0"
"Videomatic","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"VILMAR Groupe Genoyer","CUSTOMER","","2","1","0","","Alexandru Udrea","0"
"Webasto Romania / Zimand","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
